product_code,product_name,id,product_id,group_code,set_item_label,part_no,part_name,material_code,material_kind,profile_shape,profile_code,dim_a_mm,dim_b_mm,wall_thickness_mm,cut_length_mm,qty,unit,waste_pct,weight_kg,total_length_m,paint_area_m2,volume_m3,unit_price,amount,note,sort_order,created_at,updated_at,section_title,unit_basis,material_note,tenon
CH0188HG-AL,Stacking Armchair,46affee3-87fd-4f3c-a3c6-76983daabccb,e8973176-e4ea-48ca-af9b-3be8ebadfe91,FRAME,,,Thanh ngang tựa,VT-AL-HOP-11.6x26,AL,HOP,,11.6,26,,450,1,Cái,0,,,,,,,Profile 838,6,2026-07-27T08:39:52.817133+00:00,2026-07-27T08:39:52.817133+00:00,,,Hộp 11.6x26x450mm · Nhôm,
CH0194HG-AL,Amr Chair,46da1a0a-9f3f-481e-bcbe-b5e2736d4081,ffa0cb6c-f29a-44dd-82d4-ac6c19ce1194,FRAME,,,Khung nẹp vải tựa/ thanh dọc,VT-AL-HOP-10x20,AL,HOP,,10,20,,225,2,Cái,0,,,,,,,,8,2026-07-27T08:39:57.991261+00:00,2026-07-27T08:39:57.991261+00:00,,,Hộp 10x20x1mm · Nhôm,
CH0176HG-AL,Ghế 5 bậc Athos,471771ef-01cc-43b3-bd46-340d13be9539,a0d0c303-46c2-4387-8cce-7c68381c49dd,HARDWARE,,,"Bulon 6x20x15 , 7M",VT-PK-BULONG-M6X20,,,,,,,,2,con,0,,,,,,,,25,2026-07-27T08:40:14.779484+00:00,2026-07-27T08:40:14.779484+00:00,,,"Bulon 6x20x15 , 7M",
CH0065HG-AL,Ghế đan mây Rattan,47ccad20-733a-4d47-985e-261b90e0792a,e1d71586-0510-4d64-a775-23e977a2d463,FRAME,,,Đố sau,VT-AL-HOP-50x13.5,AL,HOP,,50,13.5,,450,1,cái,0,,,,,,,,7,2026-07-27T08:40:26.790785+00:00,2026-07-27T08:40:26.790785+00:00,,,Hộp 13.5x50x450mm · Hộp,
OT0178HG-AL,"Bồn hoa lớn, khung nhôm, nan gỗ",47fc07eb-af95-4db7-8d8d-08991f1b0733,08deae79-7e91-40c5-a88e-0b5aa90a6c03,HARDWARE,,,"Bulon 6x75, 7 màu (sơn đen)",VT-PK-BULONG-M6X75,,,,,,,,10,con,0,,,,,,,,28,2026-07-27T08:40:18.92139+00:00,2026-07-27T08:40:18.92139+00:00,,,Thép/Nhựa,
TB0169HG-AL,Bàn CNKG Paxos,483904c2-b262-48ef-ba19-6e8eef2af418,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,HARDWARE,,,Ty sắt,VT-PK-TY-SAT-655MM,,,,,,,,4,cây,0,,,,,,,,22,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,655mm · Sắt,
TB0174HG-AL,Bàn xếp Santorin,484ef4d1-d789-4308-8f10-2ec97f4ae873,9999b62a-9e6c-479a-a503-dfb1f5a01eda,WOOD,,,Dài kệ gỗ,VT-GO-20x25,WD,PF,TWHG05,20,25,,560,2,Cái,0,,,,,,,,7,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,TW-HG05 20x25x560mm · Gỗ TW-HG05,
OT0178HG-AL,"Bồn hoa lớn, khung nhôm, nan gỗ",486f9757-fb08-4717-b385-ffd1e02e2861,08deae79-7e91-40c5-a88e-0b5aa90a6c03,PACKAGING,,,Túi vải,VT-BB-TUI-VAI,,,,,,,,1,cái,0,,,,,,,,31,2026-07-27T08:40:18.92139+00:00,2026-07-27T08:40:18.92139+00:00,,,Thép/Nhựa,
CH0170HG-AL,Ghế 5 bậc Paxos,4888ffcb-866e-4c73-81d9-1da49b5b55cf,b6a4f71a-46ec-4e19-bd92-8bae4aed885f,HARDWARE,,,"Bulon 6x20x15, 7 màu",VT-PK-BULONG-M6X20,,,,,,,,2,con,0,,,,,,,,19,2026-07-27T08:40:07.00024+00:00,2026-07-27T08:40:07.00024+00:00,,,6x20x15,
TB0198HG-IN,"Bàn Keros 150x90 khung Inox, nan gỗ keo FSC",48d8ea17-6bf3-47a6-bf85-f5ccca98390f,c835fe7a-b3b4-40ed-a1ee-3e432f3166ed,HARDWARE,,,Pát inox 304 dày 2 ly khoan 2 lỗ xéo bắt gỗ,VT-PK-PAT-PAT-INOX-304-DAY-2-LY-KH,,,,,,,,6,cái,0,,,,,,,,22,2026-07-27T08:40:22.700984+00:00,2026-07-27T08:40:22.700984+00:00,,,Thép/Nhựa,
SL0181HG-AL,Giường tắm nắng Paxos,494ca26b-1ea2-423a-b62a-c72898542d5a,061e7682-05b0-43e3-a65d-1d7921caa87b,FRAME,,,Nẹp vải mê,VT-AL-PF-TDHG04,AL,PF,TDHG04,12.5,24,,1210,2,Cái,0,,,,,,,,8,2026-07-27T08:40:07.914699+00:00,2026-07-27T08:40:07.914699+00:00,,,TD-HG04 12.5x24x1210mm · Nhôm,
TB0174HG-AL,Bàn xếp Santorin,497eab3e-1866-47e3-a096-f59b98ddfb18,9999b62a-9e6c-479a-a503-dfb1f5a01eda,WOOD,,,Nan khung trên,VT-GO-10x50,WD,,,10,50,,536,3,Cái,0,,,,,,,,15,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,10x50x536mm · Gỗ,
TB0166HG-AL,"Bàn CN nhôm gỗ keo 150x90 cm , sơn graphit",4996fc75-96d4-48e7-adf1-99bf628a0abf,3d8d2375-d1e1-46a5-b90d-6532cf0bfe95,FRAME,,,Pas chân,VT-AL-LA-4x47,AL,LA,,4,47,,47,4,Cái,0,,,,,,,,6,2026-07-27T08:40:03.231565+00:00,2026-07-27T08:40:03.231565+00:00,,,La 47x4x4mm · Nhôm,
CH0165HG-AL,Ghế xếp chồng nhôm vải Naxos,49a05abe-ca6e-4c89-9984-151293ba6f81,f0401a01-d5b1-4296-a70e-90d2f283507b,HARDWARE,,,Gót chân sau,VT-PK-DECHAN-GOT-CHAN-SAU-HINH-THANG-,,,,,,,,2,cái,0,,,,,,,,12,2026-07-27T08:40:02.457562+00:00,2026-07-27T08:40:02.457562+00:00,,,"hình thang, màu xám",
CH0187HG-AL,Bar Armchair,49c4aea1-86fa-43ab-bc73-d7acfd3836e0,d74c0269-67ef-4343-979b-feef0e4277d9,FRAME,,,Tay vịn,VT-AL-HOP-15x40,AL,HOP,,15,40,,431,2,Cái,0,,,,,,,Profile 872,1,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,Hộp 15x40x431mm · Nhôm,
CH0197HG-AL,Ghế XC Keros,49c56f42-d938-4063-b5f6-edfe1a3dc9a9,814b379d-6f5e-4c81-b87d-66029b8e81b3,WOOD,,,Tay vịn,VT-GO-24x52,WD,,,24,52,,460,2,cái,0,,,,,,,,13,2026-07-27T08:40:21.881921+00:00,2026-07-27T08:40:21.881921+00:00,,,Gỗ 24x52x460mm · Gỗ keo,
TB0164HG-AL,Bàn CNKG Tilos 180(250)x100x74 cm,4a25b34e-d35e-458c-959b-88ae3dbde242,8e9471e9-4316-4ea6-be0b-7aee3b53fdd3,WOOD,,,Liên kết nan ô giữa 1,VT-GO-15x60,WD,,,15,60,,850,2,Cái,0,,,,,,,Thẩm thẳng bào vuông góc,14,2026-07-27T08:40:01.634461+00:00,2026-07-27T08:40:01.634461+00:00,,,15x60x850mm,
