code_moi,code_cu,ma_vat_lieu,ten_san_pham,nguon_ma,file_bom
ST000049HG-AL,S0049HG-AL,AL,"Sofa set (table + 2 bank I + bank II)
Table: Frame by alu
Bank I + Bank II: Frame by alu",Từ file TỔNG HỢP,(chưa có file BOM)
ST000050HG-IR,S0050HG-IR,IR,"Sofa set (2 table + 2 bank I + bank II)
Table: Frame by alu
Bank I + Bank II: Frame by alu",Từ file TỔNG HỢP,(chưa có file BOM)
ST000051HG-AL,S0051HG-AL,AL,"Sofa set  table + 2 bank I + bank II)
Table: Frame by alu + table top by transparent glass
Bank I + Bank III: Frame by alu
tính lại bb",Từ file TỔNG HỢP,(chưa có file BOM)
ST000052HG-AL,S0052HG-AL,AL,"Sofa set ( table + 2 bank I + bank III)
Frame: alu + half round wicker",Từ file TỔNG HỢP,(chưa có file BOM)
ST000053HG-AL,S0053HG-AL,AL,"Sofa set (1 table + 1 corner sofa + 1 open sofa + 1 bench with storage)
Alu frame + wicker as sample",Từ file TỔNG HỢP,(chưa có file BOM)
ST000054HG-AL,S0054HG-AL,AL,Sofa set ( 2 table + Bank I + Bank II + Bank III ),Từ file TỔNG HỢP,(chưa có file BOM)
ST000055HG-IN,S0055HG-IN,IN,Sofa set ( table +2 corner sofa + 3 bank I ),Từ file TỔNG HỢP,(chưa có file BOM)
ST000062HG-AL,S0062HG-AL,AL,"Sofa set:
     Table:
        Frame: Alu
        Top table: Polywood
     Bank I:
        Legs: Stanless steel SS304
        Frame: Carbon steel
     Bank II:
        Legs: Stanless steel SS304
        Frame: Carbon steel",Từ file TỔNG HỢP,(chưa có file BOM)
ST000069HG-AL,S0069HG-AL,AL,4 seat dinning,Từ file TỔNG HỢP,(chưa có file BOM)
ST000070HG-AL,S0070HG-AL,AL,6 seat dinning,Từ file TỔNG HỢP,(chưa có file BOM)
ST000071HG-AL,S0071HG-AL,AL,8 seat dinning,Từ file TỔNG HỢP,(chưa có file BOM)
ST000072HG-AL,S0072HG-AL,AL,In between set,Từ file TỔNG HỢP,(chưa có file BOM)
ST000073HG-AL,S0073HG-AL,AL,Lounge set,Từ file TỔNG HỢP,(chưa có file BOM)
ST000074HG-AL,S0074HG-AL,AL,Dinining set - 6 Chair,Từ file TỔNG HỢP,(chưa có file BOM)
ST000075HG-AL,S0075HG-AL,AL,Lucas sofa set,Từ file TỔNG HỢP,(chưa có file BOM)
ST000076HG-IR,S0076HG-IR,IR,Lucas set - Bank II,Từ file BOM,BKQC-S0076HG-IR-Lucas set.xlsx
ST000077HG-AL,S0077HG-AL,AL,TABLE,Từ file BOM,BKQC_TABLE1150X1150.xlsx
ST000078HG-AL,S0078HG-AL,AL,S0078HG-AL-Sofa set,Từ file TỔNG HỢP,(chưa có file BOM)
ST000079HG-AL,S0079HG-AL,AL,Dining set - Table KD,Từ file TỔNG HỢP,(chưa có file BOM)
ST000080HG-IR,S0080HG-IR,IR,Lucas set - Bank III - KD,Từ file BOM,BKQC-S0080HG-IR-Lucas set- KD structure.xlsx
ST000081HG-IR,S0081HG-IR,IR,SOFA SET,Từ file TỔNG HỢP,(chưa có file BOM)
ST000083HG-AL,S0083HG-AL,AL,Lucas sofa set,Từ file TỔNG HỢP,(chưa có file BOM)
