code_moi,code_cu,ma_vat_lieu,ten_san_pham,nguon_ma,file_bom
AC000001HG-XX,A0001HG-XX,XX,,ĐỀ XUẤT - cần duyệt,BKQC - BCNKZ Santorin 650130X650X750.xlsx
AC000002HG-IR,A0002HG-IR,IR,,ĐỀ XUẤT - cần duyệt,BKQC - So sanh mê ngồi.xlsx
BN000002HG-AL,B0002HG-AL,AL,Bench 1,Từ file BOM,BKQC - B0002HG-AL Bench 1.xlsx
BN000003HG-AL,B0003HG-AL,AL,Bench 2,Từ file BOM,BKQC - B0003HG-AL  Bench 2.xlsx
BN000004HG-AL,B0004HG-AL,AL,Ghế dài,Từ file BOM,BKQC - DINING SET - Ghỗ bạch đàn.xlsx
BN000005HG-AL,B0005HG-AL,AL,SOFA Trần Nhôm ống Bank 2,Từ file BOM,BKQC - C0085HG-AL -SOFA Trần Nhôm.xlsx
BN000006HG-AL,B0006HG-AL,AL,Bank 2,Từ file BOM,BKQC - B0006HG-AL-Club Chair  Bank 2.xlsx
BN000007HG-AL,B0007HG-AL,AL,Bank 3,Từ file BOM,BKQC - B0007HG-AL-Club Chair - Bank 3.xlsx
BN000008HG-AL,B0008HG-AL,AL,ARMCHAIR,Từ file TỔNG HỢP,(chưa có file BOM)
BN000009HG-IR,B0009HG-IR,IR,ARMCHAIR,Từ file TỔNG HỢP,(chưa có file BOM)
BN000010HG-AL,B0010HG-AL,AL,3 SEAT SOFA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000011HG-IR,B0011HG-IR,IR,3 SEAT SOFA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000012HG-AL,B0012HG-AL,AL,Ghế tựa cong,Từ file BOM,B0012HG-AL-GHẾ TỰA CONG-GIGA-N775P221509.xlsx
BN000013HG-AL,B0013HG-AL,AL,Sorley Sofa Brief,Từ file BOM,BKQC-B0013HG-AL--SORLEY--GD27GFURN-95- sofa bank 2.xlsx
BN000014HG-AL,B0014HG-AL,AL,2 SEATER WITH TYPE 1 SIDE TABLE,Từ file BOM,B0014HG-AL+B0015HG-IR-2 SEATER WITH TYPE 1 SIDE TABLE.xlsx
BN000015HG-IR,B0015HG-IR,IR,2 SEATER WITH TYPE 1 SIDE TABLE,Từ file BOM,B0014HG-AL+B0015HG-IR-2 SEATER WITH TYPE 1 SIDE TABLE.xlsx
BN000016HG-AL,B0016HG-AL,AL,2 SEATER WITH TYPE 1 SIDE TABLE,Từ file BOM,B0016HG-AL+B0017HG-IR-2 SEATER WITH TYPE 2 SIDE TABLE.xlsx
BN000017HG-IR,B0017HG-IR,IR,2 SEATER WITH TYPE 1 SIDE TABLE,Từ file BOM,B0016HG-AL+B0017HG-IR-2 SEATER WITH TYPE 2 SIDE TABLE.xlsx
BN000018HG-AL,B0018HG-AL,AL,SINGLE CHAIR,Từ file BOM,B0018HG-AL+B0019HG-IR-SINGLE CHAIR.xlsx
BN000019HG-IR,B0019HG-IR,IR,SINGLE CHAIR,Từ file BOM,B0018HG-AL+B0019HG-IR-SINGLE CHAIR.xlsx
BN000020HG-AL,B0020HG-AL,AL,Sorley Armchair Brief,Từ file BOM,BKQC-B0020HG-AL-SORLEY--GD27GFURN-96 - Sorley Armchair Brief.xlsx
BN000021HG-AL,B0021HG-AL,AL,3 Seater Sofa-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000022HG-IR,B0022HG-IR,IR,3 Seater Sofa-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000023HG-AL,B0023HG-AL,AL,Arm chair-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000024HG-IR,B0024HG-IR,IR,Arm chair-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000025HG-AL,B0025HG-AL,AL,Corner Arm Piece-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000026HG-IR,B0026HG-IR,IR,Corner Arm Piece-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000027HG-AL,B0027HG-AL,AL,Armless Piece-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000028HG-IR,B0028HG-IR,IR,Armless Piece-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000029HG-AL,B0029HG-AL,AL,Imani 3 Seater Sofa,Từ file BOM,B0029HG-AL+B0030HG-IR-Imani 3 Seater Sofa.xlsx
BN000030HG-IR,B0030HG-IR,IR,Imani 3 Seater Sofa,Từ file BOM,B0029HG-AL+B0030HG-IR-Imani 3 Seater Sofa.xlsx
BN000031HG-AL,B0031HG-AL,AL,ARM CHAIR,Từ file BOM,B0031HG-AL+B0032HG-IR-Imani Arm chair Sofa.xlsx
BN000032HG-AL,B0032HG-AL,AL,ARM CHAIR,Từ file BOM,B0031HG-AL+B0032HG-IR-Imani Arm chair Sofa.xlsx
BN000032HG-IR,B0032HG-IR,IR,Imani Arm chair Sofa,Từ file TỔNG HỢP,(chưa có file BOM)
BN000033HG-AL,B0033HG-AL,AL,2 seater sofa-LUCIA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000034HG-IR,B0034HG-IR,IR,2 seater sofa-LUCIA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000035HG-AL,B0035HG-AL,AL,ARMLESS CHAIR-LUCIA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000036HG-IR,B0036HG-IR,IR,ARMLESS CHAIR-LUCIA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000037HG-AL,B0037HG-AL,AL,CORNER SECTION MODULE-LUCIA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000038HG-IR,B0038HG-IR,IR,CORNER SECTION MODULE-LUCIA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000045HG-IR,B0045HG-IR,IR,Bench,Từ file BOM,BKQC - B0045HG-IR - FZS71084F Bench.xlsx
BN000046HG-AL,B0046HG-AL,AL,Double sofa,ĐỀ XUẤT - cần duyệt,BKQC - Aluminum sofa.xlsx
BN000047HG-AL,B0047HG-AL,AL,Single sofa,ĐỀ XUẤT - cần duyệt,BKQC - Aluminum sofa.xlsx
BN000048HG-AL,B0048HG-AL,AL,Triple sofa,ĐỀ XUẤT - cần duyệt,BKQC - Aluminum sofa.xlsx
BN000049HG-XX,B0049HG-XX,XX,Ghế Bank 1 (1 cái/bộ),ĐỀ XUẤT - cần duyệt,BKQC - Bộ 170 asley - cập nhật 26-03-2025.xlsx
BN000050HG-AL,B0050HG-AL,AL,Ghế Bank 2 (2 cái/Bộ),ĐỀ XUẤT - cần duyệt,BKQC - Bộ 170 asley - cập nhật 26-03-2025.xlsx
BN000051HG-AL,B0051HG-AL,AL,Ghế Bank Góc ( 1 cái/bộ),ĐỀ XUẤT - cần duyệt,BKQC - Bộ 170 asley - cập nhật 26-03-2025.xlsx
BN000052HG-AL,B0052HG-AL,AL,HARLOWE SOFA ARMCHAIR,ĐỀ XUẤT - cần duyệt,BKQC - HARLOWE SOFA  kê profile HG.xlsx
BN000053HG-AL,B0053HG-AL,AL,HARLOWE SOFA ARMCHAIR,ĐỀ XUẤT - cần duyệt,BKQC - HARLOWE SOFA  kê profile HG.xlsx
BN000054HG-AL,B0054HG-AL,AL,HARLOWE SOFA ARMCHAIR,ĐỀ XUẤT - cần duyệt,BKQC - HARLOWE SOFA ARMCHAIR kê đúng profile theo BV khách.xlsx
BN000055HG-AL,B0055HG-AL,AL,OTTOMAN FRAME (D80 x W56 X H34) CM,ĐỀ XUẤT - cần duyệt,BKQC - OTTOMAN FRAME (D80 x W56 X H34) CM.xlsx
BN000056HG-XX,B0056HG-XX,XX,Ghe 1,ĐỀ XUẤT - cần duyệt,BKQC - Sofa ghỗ đan dây.xlsx
BN000057HG-XX,B0057HG-XX,XX,Ghe 2,ĐỀ XUẤT - cần duyệt,BKQC - Sofa ghỗ đan dây.xlsx
BN000058HG-AL,B0058HG-AL,AL,Ghế góc ( Ráp chết ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa góc đan mây.xlsx
BN000059HG-AL,B0059HG-AL,AL,Ghế không tay ( Ráp chết ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa góc đan mây.xlsx
BN000060HG-AL,B0060HG-AL,AL,Ghế trái - phải ( Ráp chết ),ĐỀ XUẤT - cần duyệt,BKQC - Sofa góc đan mây.xlsx
BN000061HG-IR,B0061HG-IR,IR,SOFA GARDEN  Bank 1,ĐỀ XUẤT - cần duyệt,BKQC - TOKY - JOY GARDEN - KHUNG ĐAN SỢI WICKER XOẮN.xlsx
BN000062HG-IR,B0062HG-IR,IR,SOFA GARDEN  Bank 2,ĐỀ XUẤT - cần duyệt,BKQC - TOKY - JOY GARDEN - KHUNG ĐAN SỢI WICKER XOẮN.xlsx
BN000063HG-IR,B0063HG-IR,IR,SOFA GARDEN  Bank 3,ĐỀ XUẤT - cần duyệt,BKQC - TOKY - JOY GARDEN - KHUNG ĐAN SỢI WICKER XOẮN.xlsx
CH000001HG-AL,C0001HG-AL,AL,Ghế XC Naxos tay vịn nhôm gián giấy,Từ file TỔNG HỢP,(chưa có file BOM)
CH000002HG-IR,C0002HG-IR,IR,2PK High Dining Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000003HG-AL,C0003HG-AL,AL,GHẾ NHÔM LƯỚI THÁO RỜI,Từ file TỔNG HỢP,(chưa có file BOM)
CH000004HG-AL,C0004HG-AL,AL,"Itanos folding chair Midi
Ghế xếp lưới
tay vịn + tựa đầu ply wood",Từ file TỔNG HỢP,(chưa có file BOM)
CH000005HG-AL,C0005HG-AL,AL,Ghế 5 bậc Astros tay vịn Polywood,Từ file BOM,BKQC - C0005HG-AL  Ghế 5 bậc Astros - 21620-217.xlsx
CH000104HG-IR,C00104HG-IR,IR,"Ghế xếp chồng không tháo rời
Khung sắt",Từ file TỔNG HỢP,(chưa có file BOM)
CH000105HG-IR,C00105HG-IR,IR,"Ghế xếp chồng tháo rời
Khung sắt",Từ file TỔNG HỢP,(chưa có file BOM)
CH000011HG-AL,C0011HG-AL,AL,Ghế 5 bậc Florenz tay Polywood,Từ file BOM,BKQC - C0011HG-AL  Ghế 5 bậc Florenz tay Polywood.xlsx
CH000012HG-AL,C0012HG-AL,AL,Mê ngồi vải,Từ file TỔNG HỢP,(chưa có file BOM)
CH000013HG-AL,C0013HG-AL,AL,Ghế 5 bậc Astros tay vịn nhôm dán giấy,Từ file BOM,BKQC - C0013HG-AL  Ghế 5 bậc Astros - 21620-217 - Tay vịn nhôm dán giấy.xlsx
CH000014HG-AL,C0014HG-AL,AL,Ghế XC Tilos tăng cao tựa 910,Từ file BOM,BKQC - C0009HG-AL  Ghế XC Tilos tăng cao tựa 910.xlsx
CH000015HG-AL,C0015HG-AL,AL,"Ghế XC Tilos tăng cao tựa 910
Tay vịn+tựa đầu Plywood",Từ file TỔNG HỢP,(chưa có file BOM)
CH000015HG-IR,C0015HG-IR,IR,Ghế xoay đan mây,Từ file BOM,BKQC - C0015HG-IR Ghế xoay đan mây.xlsx
CH000016HG-IR,C0016HG-IR,IR,Rocking Chair -  đan mây,Từ file BOM,BKQC - C0016HG-IR Rocking Chair -  đan mây.xlsx
CH000017HG-AL,C0017HG-AL,AL,Ghế 5pos Tilos - Tay + tựa Polywood,Từ file BOM,BKQC - C0007HG-AL  Ghế 5pos Tilos - Tay vịn Polywood.xlsx
CH000018HG-AL,C0018HG-AL,AL,Tilos balcony arm chair,Từ file BOM,BKQC - C0018HG-AL  Tilos balcony arm chair.xlsx
CH000019HG-AL,C0019HG-AL,AL,ghế 5 bậc siena tay giá rẻ,Từ file BOM,BKQC - C0019HG-AL  ghế 5 bậc siena tay giá rẻ.xlsx
CH000020HG-AL,C0020HG-AL,AL,Ghế XC Mê ngồi nhôm tấm- tựa dây dù - tay Polywood,Từ file BOM,BKQC - C0020HG-AL  Ghế XC Mê ngồi nhôm tấm- tựa dây dù - tay Polywood.xlsx
CH000021HG-AL,C0021HG-AL,AL,Ghế XC Đan dây dù tay Polywood,Từ file BOM,BKQC - C0021HG-AL  Ghế XC Đan dây dù tay Polywood.xlsx
CH000022HG-AL,C0022HG-AL,AL,"Ghế xếp chồng Astros, khung nhôm, tay ghế bằng polywood",Từ file TỔNG HỢP,(chưa có file BOM)
CH000023HG-AL,C0023HG-AL,AL,Ghế xếp vải,Từ file BOM,BKQC - C0023HG-AL  Ghế xếp vải.xlsx
CH000024HG-IR,C0024HG-IR,IR,Rattan chair,Từ file BOM,BKQC - C0024HG-IR  Rattan chair with stowable ottoman.xlsx
CH000025HG-AL,C0025HG-AL,AL,Ghế 5 bậc Florenz,Từ file BOM,BKQC - C0025HG-AL  Ghế 5 bậc Florenz tay nhôm 26000-309.xlsx
CH000026HG-AL,C0026HG-AL,AL,"Astros stack chair
Tay vịn nhôm dán giấy",Từ file TỔNG HỢP,(chưa có file BOM)
CH000027HG-IR,C0027HG-IR,IR,"Ghế xoay đan mây+Bàn
Ghế: 2pcs
Bàn: 1pcs",Từ file TỔNG HỢP,(chưa có file BOM)
CH000028HG-IR,C0028HG-IR,IR,IR Swivel Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000029HG-AL,C0029HG-AL,AL,Sofa amr chair,Từ file BOM,BKQC - C0029HG-AL Sofa amr chair.xlsx
CH000029HG-IR,C0029HG-IR,IR,IR Stationary Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000030HG-AL,C0030HG-AL,AL,Ghế đạo diễn,Từ file TỔNG HỢP,(chưa có file BOM)
CH000031HG-AL,C0031HG-AL,AL,Amr Chair,Từ file BOM,BKQC - C0031HG-AL  Amr Chair - Copy.xlsx
CH000032HG-AL,C0032HG-AL,AL,"Rope Chair
Frame: Alu
Cushion: D25, fabric 320g & USFR, 
thk seat 7cm back 19cm
Carton: 275lbs, outer layer reinforced 
with honeycomb paper 
for enhanced strenght and impact protection",Từ file TỔNG HỢP,(chưa có file BOM)
CH000033HG-AL,C0033HG-AL,AL,"Rope Chair
Frame: Alu
Cushion: D25, fabric 320g & USFR, 
thk seat 26cm back 20cm
Carton: 275lbs, outer layer reinforced 
with honeycomb paper 
for enhanced strenght and impact protection",Từ file TỔNG HỢP,(chưa có file BOM)
CH000034HG-IR,C0034HG-IR,IR,Armless Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000035HG-AL,C0035HG-AL,AL,Arm Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000036HG-AL,C0036HG-AL,AL,Outdoor CLUB CHAIR 20x90,Từ file BOM,VE-BKQC - C0036HG-AL Outdoor CLUB CHAIR 20x90 - CC-71734.xlsx
CH000037HG-IR,C0037HG-IR,IR,Swivel Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000038HG-AL,C0038HG-AL,AL,Ghế vải tháo rời,Từ file BOM,BKQC - mẫu định mức nguyên liệu - Ghế.xlsx
CH000039HG-IR,C0039HG-IR,IR,Arm Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000040HG-IR,C0040HG-IR,IR,Arm Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000041HG-AL,C0041HG-AL,AL,Outdoor dining arm chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000042HG-IR,C0042HG-IR,IR,Arm Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000046HG-IR,C0046HG-IR,IR,Arm Chair,Từ file BOM,BKQC - C0046HG-AL  Arm Chair.xlsx
CH000047HG-AL,C0047HG-AL,AL,Bench 3,Từ file BOM,BKQC - Bench - 25x50-OLD.xlsx
CH000048HG-AL,C0048HG-AL,AL,Bench 2,Từ file BOM,BKQC - Bench - 25x50-OLD.xlsx
CH000049HG-IR,C0049HG-IR,IR,Stacking Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000051HG-IR,C0051HG-IR,IR,Lounge Chair,Từ file BOM,BKQC-LINYA-C0051HG-IR Lounge Chair.xlsx
CH000052HG-AL,C0052HG-AL,AL,Folding Chair,Từ file BOM,BKQC - C0052HG-AL  Folding Chair1.xlsx
CH000053HG-AL,C0053HG-AL,AL,Stacking Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000055HG-AL,C0055HG-AL,AL,Bench 1,Từ file BOM,C0055HG-AL-Ghế 1 profile 25x50.xlsx
CH000057HG-AL,C0057HG-AL,AL,Ghế ngắn,Từ file BOM,BKQC - DINING SET - Ghỗ bạch đàn.xlsx
CH000060HG-IR,C0060HG-IR,IR,ghế bành sân vườn,Từ file BOM,BKQC -C0060HG-IR- GIGA - Ghế bành sân vườn .xlsx
CH000061HG-IR,C0061HG-IR,IR,Ghế Xoay Tựa dây,Từ file BOM,BKQC - C0061HG-IR - Ghế Xoay Tựa dây.xlsx
CH000062HG-IR,C0062HG-IR,IR,Ghế Xoay  Tựa Mây,Từ file BOM,BKQC - C0062HG-IR - Ghế Xoay Tựa Mây.xlsx
CH000065HG-AL,C0065HG-AL,AL,Ghế đan mây Rattan,Từ file BOM,BKQC - GIGA Tổng hợp Tháng 7.2025 - 1.xlsx
CH000066HG-AL,C0066HG-AL,AL,Genova textil chair GD,Từ file TỔNG HỢP,(chưa có file BOM)
CH000067HG-AL,C0067HG-AL,AL,Ghế ăn ngoài trời Rolando,Từ file BOM,BKQC - GIGA Tổng hợp Tháng 7.2025 - 1.xlsx
CH000068HG-AL,C0068HG-AL,AL,Ghế xoay,Từ file TỔNG HỢP,(chưa có file BOM)
CH000069HG-AL,C0069HG-AL,AL,Ghế vải,Từ file TỔNG HỢP,(chưa có file BOM)
CH000071HG-AL,C0071HG-AL,AL,"Stacking chair:
        Frame:Stanless steel SS304
        Armrest : Teak wood",Từ file TỔNG HỢP,(chưa có file BOM)
CH000072HG-AL,C0072HG-AL,AL,Ghế xoay,Từ file TỔNG HỢP,(chưa có file BOM)
CH000073HG-AL,C0073HG-AL,AL,Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000074HG-IN,C0074HG-IN,IN,"Chair with backrest:
       Frame:
       Back rail + seat rail + armrest : Teak wood",Từ file TỔNG HỢP,(chưa có file BOM)
CH000075HG-IN,C0075HG-IN,IN,Chair,Từ file TỔNG HỢP,(chưa có file BOM)
CH000077HG-IR,C0077HG-IR,IR,Ghế xoay Wings,Từ file BOM,BKQC - C0077HG-IR -Ghế xoay Wings.xlsx
CH000079HG-AL,C0079HG-AL,AL,Ghế Tựa tròn textilene,Từ file BOM,BKQC - C0079HG-AL -Ghế Tựa tròn textilene.xlsx
CH000080HG-AL,C0080HG-AL,AL,Lucas single sofa-AlphaMarts,Từ file TỔNG HỢP,(chưa có file BOM)
CH000081HG-AL,C0081HG-AL,AL,Lucas Swivel Chair-AlphaMarts,Từ file TỔNG HỢP,(chưa có file BOM)
CH000082HG-AL,C0082HG-AL,AL,ghế bành tay gỗ teak,Từ file BOM,BKQC - C0079HG-AL  - ghế bành tay gỗ teak.xlsx
CH000083HG-AL,C0083HG-AL,AL,Ghế xoay - dây dù,Từ file TỔNG HỢP,(chưa có file BOM)
CH000084HG-AL,C0084HG-AL,AL,Club Chair,Từ file BOM,BKQC - B0006HG-AL-Club Chair  Bank 2.xlsx
CH000085HG-AL,C0085HG-AL,AL,SOFA trần Nhôm ống,Từ file BOM,BKQC - C0085HG-AL -SOFA Trần Nhôm.xlsx
CH000086HG-IR,C0086HG-IR,IR,Lucas single sofa-AlphaMarts,Từ file TỔNG HỢP,(chưa có file BOM)
CH000087HG-IR,C0087HG-IR,IR,Lucas Swivel Chair-AlphaMarts,Từ file TỔNG HỢP,(chưa có file BOM)
CH000088HG-AL,C0088HG-AL,AL,"Ghế xếp chồng không tháo rời
Khung nhôm",Từ file TỔNG HỢP,(chưa có file BOM)
CH000089HG-AL,C0089HG-AL,AL,Ghế đan mây tháo rời,Từ file BOM,BKQC -C0089HG-AL - Ghế Đan Mây Tháo Rời 26082025.xlsx
CH000090HG-AL,C0090HG-AL,AL,Ghế đan mây dây tròn,Từ file BOM,BKQC - C0090HG-AL-Ghê đan mây dây tròn 1526082025.xlsx
CH000091HG-AL,C0091HG-AL,AL,Ghế đan mây - Khung nhôm,Từ file TỔNG HỢP,(chưa có file BOM)
CH000092HG-AL,C0092HG-AL,AL,Nệm bọc mê + tựa,Từ file BOM,BKQC - C0092HG-AL-Ghế nệm bọc mê.xlsx
CH000093HG-AL,C0093HG-AL,AL,Bank 2 Sofa,Từ file BOM,BKQC - C0093HG-AL - Bank 2 ghế sofa  - 0803092025.xlsx
CH000094HG-AL,C0094HG-AL,AL,Bank3 ghế sofa,Từ file BOM,BKQC - C0094HG-AL - Bank3 ghế sofa - 11030925.xlsx
CH000095HG-IR,C0095HG-IR,IR,Ghế đan mây - Khung sắt,Từ file TỔNG HỢP,(chưa có file BOM)
CH000097HG-IR,C0097HG-IR,IR,Ghế đan khung sắt,Từ file TỔNG HỢP,(chưa có file BOM)
CH000098HG-AL,C0098HG-AL,AL,DINING CHAIR,Từ file TỔNG HỢP,(chưa có file BOM)
CH000099HG-IR,C0099HG-IR,IR,DINING CHAIR,Từ file TỔNG HỢP,(chưa có file BOM)
CH000100HG-AL,C0100HG-AL,AL,Club Chair,Từ file BOM,BKQC - C0100HG-AL-Outdoor Chat set.xlsx
CH000100HG-IR,C0100HG-IR,IR,Ghế,Từ file BOM,BKQC -  C0100HG-IR- GIGA - Ghế  - Outdoor Swivel Chair  .xlsx
CH000101HG-AL,C0101HG-AL,AL,Barstools,Từ file TỔNG HỢP,(chưa có file BOM)
CH000102HG-IR,C0102HG-IR,IR,Barstools,Từ file TỔNG HỢP,(chưa có file BOM)
CH000103HG-AL,C0103HG-AL,AL,outdoor seating,Từ file BOM,BKQC -C0103HG-AL - outdor Seating CC-FX-174.xlsx
CH000106HG-AL,C0106HG-AL,AL,Ghê Cong tháo rời,Từ file BOM,BKQC - C0106HG-AL - GIGA -Ghế cong 20x70 tháo rời.xlsx
CH000107HG-IR,C0107HG-IR,IR,Hali Dining Chair with Thicker Weave Brief,Từ file TỔNG HỢP,(chưa có file BOM)
CH000108HG-AL,C0108HG-AL,AL,Ghế Tựa mê bọc vải có foam,Từ file BOM,BKQC--SORLEY--GD27GFURN-56 -ghế bọc tựa mê.xlsx
CH000109HG-AL,C0109HG-AL,AL,"Counter Stools-Aluminum Frame
(Heat Transfer Printing)",Từ file TỔNG HỢP,(chưa có file BOM)
CH000110HG-IR,C0110HG-IR,IR,Counter Stools-IRON Frame-Powder Coated,Từ file TỔNG HỢP,(chưa có file BOM)
CH000111HG-IR,C0111HG-IR,IR,Ghế xếp Vải mê tựa,Từ file BOM,BKQC - C0111HG-IR - Ghế xếp vải mê tựa.xlsx
CH000112HG-IR,C0112HG-IR,IR,Armchair,Từ file BOM,C0112HG-IR+C0113HG-AL-GD27GFURN-67.xlsx
CH000113HG-AL,C0113HG-AL,AL,Armchair,Từ file BOM,C0112HG-IR+C0113HG-AL-GD27GFURN-67.xlsx
CH000114HG-IR,C0114HG-IR,IR,Armchair,Từ file BOM,C0114HG-IR+C0115HG-AL-GD27GFURN-66.xlsx
CH000115HG-AL,C0115HG-AL,AL,Khung nhôm,Từ file TỔNG HỢP,(chưa có file BOM)
CH000116HG-IR,C0116HG-IR,IR,Dining Chair,Từ file BOM,C0116HG-IR+C0117HG-AL-GD27GFURN-69.xlsx
CH000117HG-AL,C0117HG-AL,AL,Dining Chair,Từ file BOM,C0116HG-IR+C0117HG-AL-GD27GFURN-69.xlsx
CH000118HG-AL,C0118HG-AL,AL,Ghế,Từ file BOM,BKQC - C0118HG-AL - Ghế .xlsx
CH000119HG-IR,C0119HG-IR,IR,Outdoor Rattan Dining Chairs,Từ file TỔNG HỢP,(chưa có file BOM)
CH000120HG-AL,C0120HG-AL,AL,DINING CHAIR-YOKO,Từ file TỔNG HỢP,(chưa có file BOM)
CH000121HG-IR,C0121HG-IR,IR,DINING CHAIR-YOKO,Từ file TỔNG HỢP,(chưa có file BOM)
CH000126HG-AL,C0126HG-AL,AL,Ghế  bar,Từ file BOM,BKQC -C0126HG-AL -  N775P361567G - Ghê Bar.xlsx
CH000134HG-IR,C0134HG-IR,IR,Ghế Tựa đan dây chéo,Từ file BOM,BKQC - C0134HG-IR.xlsx
CH000135HG-IR,C0135HG-IR,IR,Ghê vải bọc tựa,Từ file BOM,BKQC - C0135HG-IR.xlsx
CH000136HG-AL,C0136HG-AL,AL,Ghế 5 bậc nhôm lưới Tilos,ĐỀ XUẤT - cần duyệt,BKQC - 21600-217 Ghế 5pos Tilos.xlsx
CH000137HG-AL,C0137HG-AL,AL,Ghế XC Tilos,ĐỀ XUẤT - cần duyệt,BKQC - 21601-217 Ghế XC Tilos.xlsx
CH000138HG-AL,C0138HG-AL,AL,Ghế XC Tinos,ĐỀ XUẤT - cần duyệt,BKQC - 21625-217 Ghế XC Tinos.xlsx
CH000139HG-AL,C0139HG-AL,AL,Ghế xc Naxos,ĐỀ XUẤT - cần duyệt,BKQC - 22000-309 Ghế xc Naxos.xlsx
CH000140HG-IR,C0140HG-IR,IR,Wave Dining Chair,ĐỀ XUẤT - cần duyệt,BKQC - 70178 Wave Dining Chair.xlsx
CH000141HG-AL,C0141HG-AL,AL,Amr chair ( ráp chết),ĐỀ XUẤT - cần duyệt,BKQC - Amr chair 1.xlsx
CH000142HG-AL,C0142HG-AL,AL,Amr chair ( ráp chết),ĐỀ XUẤT - cần duyệt,BKQC - Amr chair.xlsx
CH000143HG-IR,C0143HG-IR,IR,Ghế,ĐỀ XUẤT - cần duyệt,BKQC - FRS71267.xlsx
CH000144HG-IN,C0144HG-IN,IN,GHẾ XẾP CHỒNG KHUNG INOX - NAN GHỖ,ĐỀ XUẤT - cần duyệt,BKQC - GHẾ XẾP CHỒNG KHUNG INOX - NAN GHỖ.xlsx
CH000145HG-IN,C0145HG-IN,IN,GHẾ XẾP CHỒNG KHUNG INOX - NAN POLYWOOD,ĐỀ XUẤT - cần duyệt,BKQC - GHẾ XẾP CHỒNG KHUNG INOX - NAN POLYWOOD.xlsx
CH000146HG-IR,C0146HG-IR,IR,Ghế đu đưa,ĐỀ XUẤT - cần duyệt,BKQC - GSS00395A.xlsx
CH000147HG-AL,C0147HG-AL,AL,Ghế 5 bật santorin,ĐỀ XUẤT - cần duyệt,BKQC - Ghế 5 bật santorin -22020-209 .xlsx
CH000148HG-IN,C0148HG-IN,IN,Ghế bar,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Bar.xlsx
CH000149HG-AL,C0149HG-AL,AL,Ghế xoay Sắt,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Xoay Sắt.xlsx
CH000150HG-AL,C0150HG-AL,AL,Dining Chair,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Xoay.xlsx
CH000151HG-AL,C0151HG-AL,AL,Ghế xoay,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Xoay.xlsx
CH000152HG-AL,C0152HG-AL,AL,Ghế xoay vải,ĐỀ XUẤT - cần duyệt,BKQC - Ghế Xoay.xlsx
CH000153HG-AL,C0153HG-AL,AL,Ghế đan dây dù,ĐỀ XUẤT - cần duyệt,BKQC - Ghế dây dù - Bodesari.xlsx
