ma_san_pham,nhom,ten_chi_tiet,dang,day,rong,day_thanh,ly_do
B0049HG-XX,KHUNG,Ắc ren M10,tròn,16.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0049HG-XX,KHUNG,Sơ mi lót,tròn,19.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0050HG-AL,KHUNG,Chống Góc,Tròn,22.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0050HG-AL,KHUNG,Giằng giữa tựa,Tròn,16.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0051HG-AL,KHUNG,Chống góc,Tròn,22.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0014HG-AL,KHUNG,Tay vịn,,42.0,25.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0014HG-AL,KHUNG,Tựa đầu,,26.0,22.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0046HG-IR,KHUNG,Dây dù tròn 5 ly = 1.8 kg,,5.0,5.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0046HG-IR,KHUNG,Dây dù tròn 5 ly = 1.8 kg,,5.0,5.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0084HG-AL,KHUNG,Nhôm,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0084HG-AL,KHUNG,Sơn graphit,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0084HG-AL,KHUNG,option 2,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0084HG-AL,KHUNG,Sơn đen cát,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0100HG-AL,KHUNG,Nhôm,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0100HG-AL,KHUNG,Sơn graphit,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0100HG-AL,KHUNG,option 2,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0100HG-AL,KHUNG,Sơn đen cát,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0135HG-IR,KHUNG,Nẹp vải mê,Profile nẹp,17.0,24.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0135HG-IR,KHUNG,Nẹp vải tựa,Profile nẹp,17.0,24.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0114HG-IR,KHUNG,Vành bàn,,20.0,42.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0114HG-IR,KHUNG,Nan bàn 1,,10.0,42.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0114HG-IR,KHUNG,Nan bàn 2,,10.0,42.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0114HG-IR,KHUNG,Nan bàn 3,,10.0,42.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0114HG-IR,KHUNG,Nan bàn 4,,10.0,42.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0114HG-IR,KHUNG,Bổ LK nan,,10.0,42.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0144HG-IN,KHUNG,Tựa đầu cong,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0144HG-IN,KHUNG,Nan tựa cong,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0145HG-IN,KHUNG,Tổng,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0105HG-AL,KHUNG,Nan bàn,,10.0,152.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0108HG-AL,KHUNG,Nan bàn,,10.0,152.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0156HG-AL,KHUNG,Lót cấy ren LK tựa,,36.0,36.0,10.0,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0156HG-AL,KHUNG,Tay vịn cong,,15.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0157HG-AL,KHUNG,Lót cấy ren LK tựa,,36.0,36.0,10.0,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
C0157HG-AL,KHUNG,Tay vịn cong,,15.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0052HG-AL,KHUNG,Tay vịn cong,,15.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0053HG-AL,KHUNG,Tay vịn cong,,15.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0109HG-AL,KHUNG,Mặt đá tròn,,10.0,850.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0054HG-AL,KHUNG,Lót cấy ren LK tựa,,36.0,36.0,10.0,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0054HG-AL,KHUNG,Tay vịn cong,,15.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0110HG-AL,KHUNG,Ắc ren tròn,,16.0,16.0,3.5,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0110HG-AL,KHUNG,Gạch vân gỗ MC,,10.0,152.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0110HG-AL,KHUNG,Gạch vân gỗ MP,,10.0,152.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0111HG-AL,KHUNG,Mặt đá tròn,,10.0,850.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0038HG-AL,KHUNG,Khung mê,Hộp,20.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0038HG-AL,KHUNG,Khung Dưới mê,Hộp,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0038HG-AL,KHUNG,Khung Chân,Hộp,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0038HG-AL,KHUNG,La Theo chân,La,2.0,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0004HG-IR,KHUNG,Nan giường (ghép tự do ),,20.0,210.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0004HG-IR,KHUNG,Ván mặt hông lớn,,5.0,390.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0004HG-IR,KHUNG,Ván mặt trên,,5.0,170.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0004HG-IR,KHUNG,Ván mặt trước + sau,,5.0,170.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0007HG-AL,KHUNG,Vải tựa,,1.0,595.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0007HG-AL,KHUNG,Vải ngồi,,1.0,605.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0007HG-AL,KHUNG,Nệm,,70.0,730.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0020HG-IR,KHUNG,Vải khung tay,,1.0,800.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0020HG-IR,KHUNG,Khung mê,,1.0,1200.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
O0020HG-IR,KHUNG,Khung tựa,,1.0,750.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0112HG-AL,KHUNG,Mặt đá tròn,,10.0,450.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0026HG-IR,KHUNG,Mặt bàn,,15.0,580.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0028HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0125HG-AL,KHUNG,2 Ghế,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0125HG-AL,KHUNG,2 Đôn,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0125HG-AL,KHUNG,1 Bàn,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0029HG-AL,KHUNG,2 Ghế,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0029HG-AL,KHUNG,2 Đôn,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0029HG-AL,KHUNG,1 Bàn,,,,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0034HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0034HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0034HG-AL,VAT TU,"Công đan anh Bảy báo tính theo kg mây, khi tính thực tế đan mây có khả năng sẽ làm tròn lên vài nghìn đồng/ chi tiết",,,,,Tên không dùng được (ghi chú lọt vào ô tên)
S0037HG-AL,KHUNG,Mặt bàn,,30.0,1200.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0043HG-AL,KHUNG,"Ắt chân phi 16 dày 3,5 li",ắc,16.0,16.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0043HG-AL,KHUNG,Bàn,,15.0,1524.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0094HG-AL,KHUNG,Kính,,5.0,560.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0098HG-AL,KHUNG,Kính,,5.0,570.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0113HG-AL,KHUNG,Mặt đá tròn,,10.0,600.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0130HG-AL,KHUNG,Vành bàn cong,,22.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0130HG-AL,KHUNG,Nan bàn 1,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0130HG-AL,KHUNG,Nan bàn 2,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0130HG-AL,KHUNG,Nan bàn 3,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0130HG-AL,KHUNG,Nan bàn 4,,10.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0130HG-AL,KHUNG,LK nan bàn 1,,12.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0130HG-AL,KHUNG,LK nan bàn 2,,12.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0131HG-AL,KHUNG,Vành bàn cong,,22.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0131HG-AL,KHUNG,Nan bàn 1,,10.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0131HG-AL,KHUNG,Nan bàn 2,,10.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0131HG-AL,KHUNG,Nan bàn 3,,10.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0131HG-AL,KHUNG,Nan bàn 4,,10.0,80.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0131HG-AL,KHUNG,LK nan bàn 1,,12.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0131HG-AL,KHUNG,LK nan bàn 2,,12.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0137HG-AL,KHUNG,Nan bàn 1,,12.0,96.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0137HG-AL,KHUNG,Nan bàn 2,,12.0,96.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0137HG-AL,KHUNG,Nan bàn 3,,12.0,96.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0137HG-AL,KHUNG,Nan bàn 4,,12.0,96.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0137HG-AL,KHUNG,Nan bàn 5,,12.0,96.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0137HG-AL,KHUNG,Vành bàn cong,,15.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0137HG-AL,KHUNG,LK nan giữa,,15.0,65.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0137HG-AL,KHUNG,LK nan xéo,,15.0,65.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0138HG-AL,KHUNG,Nan bàn 1,,12.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0138HG-AL,KHUNG,Nan bàn 2,,12.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0138HG-AL,KHUNG,Nan bàn 3,,12.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0138HG-AL,KHUNG,Nan bàn 4,,12.0,60.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0138HG-AL,KHUNG,Vành bàn cong,,15.0,50.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0138HG-AL,KHUNG,LK nan giữa,,15.0,65.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
S0138HG-AL,KHUNG,LK nan xéo,,15.0,65.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
T0004HG-AL,KHUNG,Ắc ren tròn,,16.0,16.0,3.5,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
